tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037433304,42197,1132,Very Low Income,Yes,Yes,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3005,8566096.96484375,12728.4808048853
6037433305,40625,1319,Very Low Income,Yes,Yes,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3006,5494034.05566406,12347.3622186984
6037433306,56010,857,Very Low Income,Yes,No,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3007,4666767.13671875,12126.7465591634
6037433307,67917,825,Low Income,Yes,No,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3008,4675145.62890625,12635.0599133751
6037433402,68512,1139,Low Income,Yes,No,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3009,6133236.04882813,9717.23578640883
6037433403,49202,1260,Very Low Income,Yes,No,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3010,7593592.20117188,11906.2086593677
6037433505,53190,1042,Very Low Income,Yes,No,Yes,District 1,City of El Monte,SPA 3 - San Gabriel,3011,8353814.82617188,15363.2650412261
6037433506,36956,1049,Very Low Income,Yes,Yes,Yes,District 1,City of South El Monte,SPA 3 - San Gabriel,3012,17400160.6953125,19510.9051931728
6037433601,66657,1331,Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3013,12049537.8544922,14390.6279870745
6037433602,50379,836,Very Low Income,Yes,No,Yes,District 1,City of Rosemead,SPA 3 - San Gabriel,3014,10836359.2568359,15963.1227480503
6037433803,74583,885,Low Income,Yes,No,Yes,District 1,City of South El Monte,SPA 3 - San Gabriel,3015,12971774.4833984,21467.3907773907
6037601802,67361,1009,Low Income,Yes,No,Yes,District 2,Unincorporated - Lennox,SPA 8 - South Bay,3016,5209348.671875,10562.8332850143
6037601900,63153,1365,Low Income,Yes,No,Yes,District 2,City of Inglewood,SPA 8 - South Bay,3017,7488280.68261719,11027.7832088272
6037602002,61319,812,Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3018,5727718.81640625,10581.8215363547
6037602003,47083,1231,Very Low Income,Yes,Yes,Yes,District 2,City of Inglewood,SPA 8 - South Bay,3019,6730802.56738281,10333.1948953785
6037602103,34483,1709,Extremely Low Income,Yes,Yes,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3020,8985975.41601563,11937.6794814102
6037602104,54321,1719,Very Low Income,Yes,No,Yes,District 2,City of Hawthorne,SPA 8 - South Bay,3021,7983084.54785156,11593.0671798024
